Audit_ID,Changed_At,Absence_ID,Old_Status,New_Status,Old_State,New_State,Old_Renew_Date,New_Renew_Date,Writer,Login_Name,Original_Login_Name,Host_Name,Application_Name,Session_ID
1,2026-09-14 15:44:12.763,35275,4,8,1921,1921,2026-08-17 10:15:56.000,2026-09-14 18:09:47.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,184
2,2026-09-14 15:44:12.763,35274,4,8,1922,1922,2026-09-14 09:15:10.000,2026-09-14 18:09:47.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,184
3,2026-09-14 20:44:11.703,34720,4,7,1922,1922,2026-09-14 09:15:09.000,2026-09-14 23:27:48.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,205
4,2026-09-15 02:44:12.334,36159,4,5,1921,1923,2026-09-14 08:45:24.000,2026-09-15 05:10:02.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,205
5,2026-09-15 02:44:12.334,35133,4,5,1922,1923,2026-09-08 09:15:03.000,2026-09-15 05:10:02.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,205
6,2026-09-15 02:44:12.334,35113,4,5,1922,1923,2026-09-08 09:15:03.000,2026-09-15 05:10:02.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,205
7,2026-09-15 02:44:12.334,34588,4,5,1922,1923,2026-09-08 09:15:03.000,2026-09-15 05:10:01.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,205
8,2026-09-15 02:44:12.334,34011,4,5,1922,1923,2026-09-08 09:15:03.000,2026-09-15 05:10:01.000,vacations_sync_log.php,GateDBUser,GateDBUser,srv-off-btrx02.nsc.ru,php,205
9,2026-09-15 06:06:03.953,35133,5,6,1923,1923,2026-09-15 05:10:02.000,2026-09-15 09:06:03.000,NULL,1c_import,1c_import,SRV-OFF-1C01,1C:Enterprise 8.3,283
10,2026-09-15 06:06:18.298,34588,5,6,1923,1923,2026-09-15 05:10:01.000,2026-09-15 09:06:17.000,NULL,1c_import,1c_import,SRV-OFF-1C01,1C:Enterprise 8.3,283
11,2026-09-15 06:06:25.174,34011,5,6,1923,1923,2026-09-15 05:10:01.000,2026-09-15 09:06:24.000,NULL,1c_import,1c_import,SRV-OFF-1C01,1C:Enterprise 8.3,283
12,2026-09-15 06:06:32.877,35113,5,6,1923,1923,2026-09-15 05:10:02.000,2026-09-15 09:06:32.000,NULL,1c_import,1c_import,SRV-OFF-1C01,1C:Enterprise 8.3,283
